,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move,1,,,,000004612275,,,,KO_NaCl,,,,11993,8.054398925453324,,1489,9.985368533317338,7.547206428082324,8.561591422824323
1,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move,3,,,,000004724068,,,,KO_OXT,,,,10521,7.536532951289399,,1396,11.43760752590051,6.936536679032017,8.13652922354678
2,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move,2,,,,000004724446,,,,WT_NaCl,,,,18784,7.174942704354469,,2618,11.194882401991785,6.746107149049846,7.603778259659092
3,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move,4,,,,000004809290,,,,WT_OXT,,,,14746,7.818663838812301,,1886,11.462974261271253,7.301316112905791,8.336011564718811
4,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move isolated,1,,,,000004612275,,,,KO_NaCl,,,,8808,8.428708133971291,,1045,10.35392530127967,7.800934670772896,9.056481597169686
5,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move isolated,3,,,,000004724068,,,,KO_OXT,,,,5699,8.038081805359662,,709,12.683517273410468,7.104456405470726,8.971707205248597
6,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move isolated,2,,,,000004724446,,,,WT_NaCl,,,,13814,6.705825242718447,,2060,10.857857655295716,6.236939956113331,7.174710529323563
7,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Move isolated,4,,,,000004809290,,,,WT_OXT,,,,10173,8.237246963562754,,1235,12.160248726936151,7.55903561796274,8.915458309162767
8,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rearing,1,,,,000004612275,,,,KO_NaCl,,,,0,,,0,,,
9,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rearing,3,,,,000004724068,,,,KO_OXT,,,,0,,,0,,,
10,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rearing,2,,,,000004724446,,,,WT_NaCl,,,,0,,,0,,,
11,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rearing,4,,,,000004809290,,,,WT_OXT,,,,0,,,0,,,
12,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rear isolated,1,,,,000004612275,,,,KO_NaCl,,,,1976,3.3548387096774195,,589,6.843240962841617,2.802175879740232,3.907501539614607
13,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rear isolated,3,,,,000004724068,,,,KO_OXT,,,,1212,4.1506849315068495,,292,6.717736150141922,3.380158416844792,4.921211446168908
14,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rear isolated,2,,,,000004724446,,,,WT_NaCl,,,,2904,5.63883495145631,,515,22.635603165842447,3.683845005033653,7.593824897878967
15,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Rear isolated,4,,,,000004809290,,,,WT_OXT,,,,817,2.78839590443686,,293,3.458619615584729,2.3923686623057883,3.184423146567932
16,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Stop isolated,1,,,,000004612275,,,,KO_NaCl,,,,53032,44.45264040234702,,1193,86.1742886556069,39.562587509736034,49.34269329495801
17,191003_Magel2_Cage4_LMT2-3mo - Copy,191003,Cage4,LMT2-3mo - Copy,1,1,1160510,1268510,Stop isolated,3,,,,000004724068,,,,KO_OXT,,,,54129,77.99567723342939,,694,153.56463304778362,66.5703790734305,89.42097539342828
