,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move,1,,,,000004724068,,,,+/+,,,,17042,8.038679245283019,,2120,11.44908392771705,7.5513091474830425,8.526049343082995
1,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move,3,,,,000004809235,,,,+/-,,,,16025,8.385661957090528,,1911,11.216502362237746,7.882760168774181,8.888563745406877
2,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move,2,,,,000004612539,,,,-/-,,,,23790,10.356987374836743,,2297,13.962030580586479,9.786003085661363,10.927971664012123
3,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move isolated,1,,,,000004724068,,,,+/+,,,,11385,8.846153846153847,,1287,12.195300738808186,8.179869956393002,9.512437735914691
4,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move isolated,3,,,,000004809235,,,,+/-,,,,10697,9.301739130434783,,1150,11.704859508164125,8.625230476533211,9.978247784336354
5,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Move isolated,2,,,,000004612539,,,,-/-,,,,18440,11.410891089108912,,1616,14.38012001623101,10.709762132533099,12.112020045684725
6,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rearing,1,,,,000004724068,,,,+/+,,,,85506,67.59367588932807,,1265,233.16586769344872,54.74448489814577,80.44286688051037
7,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rearing,3,,,,000004809235,,,,+/-,,,,98610,81.49586776859505,,1210,227.3385331627936,68.68624207001636,94.30549346717373
8,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rearing,2,,,,000004612539,,,,-/-,,,,98722,66.88482384823848,,1476,210.53733426468074,56.14389072826788,77.62575696820909
9,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rear isolated,1,,,,000004724068,,,,+/+,,,,1300,3.591160220994475,,362,5.110786911306543,3.064670908055639,4.117649533933311
10,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rear isolated,3,,,,000004809235,,,,+/-,,,,1574,3.4900221729490024,,451,5.450585334375863,2.986972415697646,3.993071930200359
11,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Rear isolated,2,,,,000004612539,,,,-/-,,,,2852,3.9501385041551247,,722,8.49590132452094,3.330416477830565,4.569860530479684
12,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Stop isolated,1,,,,000004724068,,,,+/+,,,,49533,42.77461139896373,,1158,117.60331207068869,36.000983357797836,49.54823944012962
13,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Stop isolated,3,,,,000004809235,,,,+/-,,,,64813,56.50653879686138,,1147,136.4036674965269,48.61247903677045,64.4005985569523
14,200425_C2-triads_Cage6_LMT1 - Copy,200425,Cage6,LMT1 - Copy,1,1,106263,214263,Stop isolated,2,,,,000004612539,,,,-/-,,,,67625,43.29385403329065,,1562,113.77813316181029,37.65131775142568,48.93639031515562
