,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move,3,,,,000004849427,,,,Amphet,,,,0,,,0,,,
1,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move,1,,,,000004849094,,,,NaCl,,,,0,,,0,,,
2,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move,2,,,,000004849177,,,,NaCl,,,,0,,,0,,,
3,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move isolated,3,,,,000004849427,,,,Amphet,,,,9769,5.326608505997819,,1834,9.148876539383561,4.907888055370057,5.745328956625581
4,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move isolated,1,,,,000004849094,,,,NaCl,,,,12932,6.753002610966058,,1915,9.751003703709593,6.316264588196865,7.1897406337352505
5,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Move isolated,2,,,,000004849177,,,,NaCl,,,,8925,5.695596681557116,,1567,8.818810015749028,5.258948596588983,6.132244766525249
6,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rearing,3,,,,000004849427,,,,Amphet,,,,56663,53.354990583804145,,1062,179.05065924701026,42.5861304253812,64.12385074222709
7,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rearing,1,,,,000004849094,,,,NaCl,,,,78243,52.582661290322584,,1488,250.75682731818284,39.84154815473468,65.32377442591049
8,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rearing,2,,,,000004849177,,,,NaCl,,,,76818,67.32515337423312,,1141,265.930974893154,51.89457606292863,82.75573068553763
9,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rear isolated,3,,,,000004849427,,,,Amphet,,,,1605,4.908256880733945,,327,8.21932676291321,4.0173784558957815,5.799135305572109
10,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rear isolated,1,,,,000004849094,,,,NaCl,,,,6110,6.826815642458101,,895,11.833016796570169,6.051568748896891,7.602062536019311
11,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Rear isolated,2,,,,000004849177,,,,NaCl,,,,3845,5.23841961852861,,734,9.124873674371557,4.5782813615286235,5.898557875528597
12,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Stop isolated,3,,,,000004849427,,,,Amphet,,,,51571,36.62713068181818,,1408,88.025287090331,32.029202386876804,41.225058976759556
13,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Stop isolated,1,,,,000004849094,,,,NaCl,,,,57882,31.457608695652173,,1840,121.77664134344631,25.893300820030298,37.02191657127405
14,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Stop isolated,2,,,,000004849177,,,,NaCl,,,,69317,42.814700432365655,,1619,150.11522115796362,35.50234357954585,50.12705728518546
15,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WallJump,3,,,,000004849427,,,,Amphet,,,,96,2.2857142857142856,,42,0.5016977977548923,2.133983530024405,2.437445041404166
16,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WallJump,1,,,,000004849094,,,,NaCl,,,,92,2.1904761904761907,,42,0.392676726249301,2.0717171752238586,2.309235205728523
17,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WallJump,2,,,,000004849177,,,,NaCl,,,,78,2.2285714285714286,,35,0.4831867007225076,2.068491448561435,2.3886514085814223
18,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,SAP,3,,,,000004849427,,,,Amphet,,,,3014,4.916802610114193,,613,9.94887067075222,4.129213650776314,5.7043915694520715
19,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,SAP,1,,,,000004849094,,,,NaCl,,,,5802,8.570162481536189,,677,22.91451963637081,6.844036480629022,10.296288482443355
20,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,SAP,2,,,,000004849177,,,,NaCl,,,,3406,6.853118712273642,,497,27.608366243801953,4.425845938514314,9.28039148603297
21,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Huddling,3,,,,000004849427,,,,Amphet,,,,0,,,0,,,
22,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Huddling,1,,,,000004849094,,,,NaCl,,,,0,,,0,,,
23,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Huddling,2,,,,000004849177,,,,NaCl,,,,0,,,0,,,
24,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WaterPoint,3,,,,000004849427,,,,Amphet,,,,0,,,0,,,
25,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WaterPoint,1,,,,000004849094,,,,NaCl,,,,0,,,0,,,
26,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,WaterPoint,2,,,,000004849177,,,,NaCl,,,,0,,,0,,,
27,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,3,1,,,000004849427,000004849094,,,Amphet,NaCl,,,10556,30.597101449275364,,345,86.88341342183955,21.428915803705603,39.76528709484512
28,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,3,2,,,000004849427,000004849177,,,Amphet,NaCl,,,10158,28.694915254237287,,354,103.549860405336,17.907833800931748,39.48199670754283
29,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,1,3,,,000004849094,000004849427,,,NaCl,Amphet,,,10556,30.597101449275364,,345,86.88341342183955,21.428915803705603,39.76528709484512
30,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,1,2,,,000004849094,000004849177,,,NaCl,NaCl,,,15760,32.22903885480573,,489,198.9435099176146,14.59582731494428,49.86225039466718
31,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,2,3,,,000004849177,000004849427,,,NaCl,Amphet,,,10158,28.694915254237287,,354,103.549860405336,17.907833800931748,39.48199670754283
32,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Contact,2,1,,,000004849177,000004849094,,,NaCl,NaCl,,,15760,32.22903885480573,,489,198.9435099176146,14.59582731494428,49.86225039466718
33,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,3,1,,,000004849427,000004849094,,,Amphet,NaCl,,,1474,9.098765432098766,,162,20.876535909059765,5.883942919476318,12.313587944721213
34,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,3,2,,,000004849427,000004849177,,,Amphet,NaCl,,,1670,13.253968253968255,,126,33.21071172290424,7.4550233615271075,19.052913146409402
35,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,1,3,,,000004849094,000004849427,,,NaCl,Amphet,,,1474,9.098765432098766,,162,20.876535909059765,5.883942919476318,12.313587944721213
36,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,1,2,,,000004849094,000004849177,,,NaCl,NaCl,,,4335,17.47983870967742,,248,46.53163592556648,11.68850551104532,23.27117190830952
37,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,2,3,,,000004849177,000004849427,,,NaCl,Amphet,,,1670,13.253968253968255,,126,33.21071172290424,7.4550233615271075,19.052913146409402
38,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-oral Contact,2,1,,,000004849177,000004849094,,,NaCl,NaCl,,,4335,17.47983870967742,,248,46.53163592556648,11.68850551104532,23.27117190830952
39,221101_Amphet_Cage3_2-1Amphet,221101,Cage3,2-1Amphet,1,1,42406,150406,Oral-genital Contact,3,1,,,000004849427,000004849094,,,Amphet,NaCl,,,1046,5.152709359605911,,203,10.913061277775086,3.6514537396030193,6.653964979608803
