,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move,1,,,,000004612463,,,,KO_OXT,,,,19872,6.803149606299213,,2921,10.586948018236875,6.419211628106998,7.187087584491428
1,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move,3,,,,000004612302,,,,KO_OXT,,,,19760,8.973660308810173,,2202,12.030963539787274,8.471146703350751,9.476173914269594
2,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move,2,,,,000004724520,,,,WT_OXT,,,,16547,7.966779008184882,,2077,11.458633976625938,7.473979041201646,8.45957897516812
3,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move,4,,,,000004612212,,,,WT_OXT,,,,20819,8.238622872971904,,2527,12.330290133306146,7.757864622441355,8.719381123502453
4,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move isolated,1,,,,000004612463,,,,KO_OXT,,,,16456,6.351215746815901,,2591,9.70877351476978,5.97737491452811,6.7250565791036925
5,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move isolated,3,,,,000004612302,,,,KO_OXT,,,,16489,8.705913410770854,,1894,11.590450356961579,8.183918348116148,9.227908473425561
6,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move isolated,2,,,,000004724520,,,,WT_OXT,,,,12857,7.496793002915452,,1715,11.105450881339843,6.9711871353850485,8.022398870445855
7,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Move isolated,4,,,,000004612212,,,,WT_OXT,,,,17247,7.768918918918919,,2220,11.810181426114934,7.2776309223200775,8.26020691551776
8,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rearing,1,,,,000004612463,,,,KO_OXT,,,,0,,,0,,,
9,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rearing,3,,,,000004612302,,,,KO_OXT,,,,0,,,0,,,
10,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rearing,2,,,,000004724520,,,,WT_OXT,,,,0,,,0,,,
11,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rearing,4,,,,000004612212,,,,WT_OXT,,,,0,,,0,,,
12,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rear isolated,1,,,,000004612463,,,,KO_OXT,,,,1019,2.854341736694678,,357,4.708424350120438,2.365917102020016,3.34276637136934
13,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rear isolated,3,,,,000004612302,,,,KO_OXT,,,,2368,2.8668280871670704,,826,3.8181025245691766,2.6064444832513383,3.1272116910828025
14,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rear isolated,2,,,,000004724520,,,,WT_OXT,,,,398,2.397590361445783,,166,2.8089347937554097,1.9702797429435615,2.824900979948005
15,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Rear isolated,4,,,,000004612212,,,,WT_OXT,,,,1500,2.7624309392265194,,543,3.4332234398798414,2.4736568481917365,3.0512050302613023
16,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Stop isolated,1,,,,000004612463,,,,KO_OXT,,,,67638,26.692186266771902,,2534,125.5564754763852,21.803503208648376,31.580869324895428
17,190917_Magel2_Cage6_LMT1-2 mo-(3 nights) - Copy,190917,Cage6,LMT1-2 mo-(3 nights) - Copy,1,1,674435,782435,Stop isolated,3,,,,000004612302,,,,KO_OXT,,,,49514,26.06,,1900,53.78060284252365,23.641729172052717,28.47827082794728
