,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move,4,,,,000004612360,,,,Hetero_NaCl,,,,22116,8.314285714285715,,2660,12.438317844692078,7.841595182269078,8.786976246302352
1,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move,1,,,,000004612211,,,,Hetero_OXT,,,,16597,6.460490463215259,,2569,9.365927992213036,6.0983101552256125,6.822670771204906
2,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move,2,,,,000004724325,,,,KO_NaCl,,,,14051,5.656602254428341,,2484,8.18928843905835,5.334549925960529,5.978654582896153
3,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move,3,,,,000004724436,,,,WT_NaCl,,,,12825,6.075319753671246,,2111,9.046828646260089,5.689389949375545,6.461249557966947
4,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move isolated,4,,,,000004612360,,,,Hetero_NaCl,,,,15590,8.65149833518313,,1802,12.606112116066937,8.069448938557432,9.233547731808827
5,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move isolated,1,,,,000004612211,,,,Hetero_OXT,,,,11330,6.232123212321232,,1818,9.224734889187754,5.808077158824968,6.656169265817496
6,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move isolated,2,,,,000004724325,,,,KO_NaCl,,,,8080,5.564738292011019,,1452,8.949387631625736,5.104411680098528,6.02506490392351
7,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Move isolated,3,,,,000004724436,,,,WT_NaCl,,,,7530,5.796766743648961,,1299,9.269564392900085,5.29267356396635,6.300859923331572
8,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Rearing,4,,,,000004612360,,,,Hetero_NaCl,,,,0,,,0,,,
9,190930_Magel2_Cage9_LMT1-2mo-(EXTRA DAY) - Copy,190930,Cage9,LMT1-2mo-(EXTRA DAY) - Copy,1,1,954269,1062269,Rearing,1,,,,000004612211,,,,Hetero_OXT,,,,0,,,0,,,
