,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move,2,,,,000004612275,,,,KO_NaCl,,,,3149,2.2835387962291516,,1379,2.3694539581837057,2.158477705401125,2.408599887057178
1,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move,1,,,,000004724068,,,,KO_OXT,,,,1919,2.6578947368421053,,722,2.628550889443336,2.4661586489003233,2.8496308247838873
2,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move,4,,,,000004724446,,,,WT_NaCl,,,,4409,2.1826732673267326,,2020,2.1589777518190685,2.0885214833039587,2.2768250513495065
3,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move,3,,,,000004809290,,,,WT_OXT,,,,2207,2.3280590717299576,,948,2.5356058598842424,2.1666478779724527,2.4894702654874625
4,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move isolated,2,,,,000004612275,,,,KO_NaCl,,,,2727,2.059667673716012,,1324,1.5410511218821084,1.9766579201073953,2.142677427324629
5,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move isolated,1,,,,000004724068,,,,KO_OXT,,,,1382,2.218298555377207,,623,1.757493197093798,2.080290098259632,2.3563070124947822
6,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move isolated,4,,,,000004724446,,,,WT_NaCl,,,,4098,2.06448362720403,,1985,2.0393788375833495,1.9747668376762648,2.154200416731795
7,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Move isolated,3,,,,000004809290,,,,WT_OXT,,,,1678,2.014405762304922,,833,1.5854330626744535,1.9067390426383972,2.1220724819714465
8,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rearing,2,,,,000004612275,,,,KO_NaCl,,,,0,,,0,,,
9,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rearing,1,,,,000004724068,,,,KO_OXT,,,,0,,,0,,,
10,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rearing,4,,,,000004724446,,,,WT_NaCl,,,,0,,,0,,,
11,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rearing,3,,,,000004809290,,,,WT_OXT,,,,0,,,0,,,
12,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rear isolated,2,,,,000004612275,,,,KO_NaCl,,,,0,,,0,,,
13,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rear isolated,1,,,,000004724068,,,,KO_OXT,,,,0,,,0,,,
14,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rear isolated,4,,,,000004724446,,,,WT_NaCl,,,,9,2.25,,4,0.82915619758885,1.4374269263629271,3.062573073637073
15,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Rear isolated,3,,,,000004809290,,,,WT_OXT,,,,0,,,0,,,
16,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Stop isolated,2,,,,000004612275,,,,KO_NaCl,,,,36124,44.05365853658537,,820,260.51069834083546,26.222699255439117,61.884617817731616
17,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Stop isolated,1,,,,000004724068,,,,KO_OXT,,,,3226,6.121442125237191,,527,31.555385714006782,3.427276709929009,8.815607540545374
18,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Stop isolated,4,,,,000004724446,,,,WT_NaCl,,,,34224,17.284848484848485,,1980,119.52363644661037,12.020104293625616,22.549592676071356
19,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,Stop isolated,3,,,,000004809290,,,,WT_OXT,,,,4840,6.1813537675606645,,783,110.98159643879457,-1.5923172634242961,13.955024798545626
20,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,WallJump,2,,,,000004612275,,,,KO_NaCl,,,,375,2.450980392156863,,153,0.6043543140165663,2.3552164573118337,2.546744327001892
21,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,WallJump,1,,,,000004724068,,,,KO_OXT,,,,97,2.1555555555555554,,45,0.4192880503136268,2.033048162088685,2.278062949022426
22,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,WallJump,4,,,,000004724446,,,,WT_NaCl,,,,136,2.1587301587301586,,63,0.3654242677213122,2.0684934634244336,2.2489668540358836
23,191104_Magel2_Cage4_LMT3-4mo - Copy,191104,Cage4,LMT3-4mo - Copy,1,1,1052336,1160336,WallJump,3,,,,000004809290,,,,WT_OXT,,,,48,2.1818181818181817,,22,0.385694607919935,2.02064666308025,2.3429897005561133
