,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move,1,,,,000004849177,,,,NaCl,,,,0,,,0,,,
1,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move,2,,,,000004849427,,,,NaCl,,,,0,,,0,,,
2,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move,3,,,,000004849094,,,,NaCl,,,,0,,,0,,,
3,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move isolated,1,,,,000004849177,,,,NaCl,,,,22061,11.412829798241075,,1933,13.218654649407478,10.82354206515105,12.0021175313311
4,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move isolated,2,,,,000004849427,,,,NaCl,,,,14661,8.363377067883627,,1753,10.355889847787507,7.878588314976526,8.84816582079073
5,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Move isolated,3,,,,000004849094,,,,NaCl,,,,16984,9.185505678745267,,1849,11.845849899620672,8.645555311227673,9.725456046262861
6,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rearing,1,,,,000004849177,,,,NaCl,,,,95241,45.92140790742526,,2074,179.5613698158088,38.19345253991251,53.64936327493801
7,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rearing,2,,,,000004849427,,,,NaCl,,,,94077,70.41691616766467,,1336,207.87748791849577,59.269857104379156,81.56397523095018
8,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rearing,3,,,,000004849094,,,,NaCl,,,,90160,65.90643274853801,,1368,189.7317397222588,55.85210561442813,75.96075988264789
9,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rear isolated,1,,,,000004849177,,,,NaCl,,,,6636,4.879411764705883,,1360,6.660585533868568,4.525415216751288,5.233408312660478
10,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rear isolated,2,,,,000004849427,,,,NaCl,,,,3851,5.378491620111732,,716,11.18723514220671,4.5590418707687395,6.197941369454725
11,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Rear isolated,3,,,,000004849094,,,,NaCl,,,,3050,4.685099846390169,,651,7.820022891024321,4.084377757609481,5.285821935170857
12,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Stop isolated,1,,,,000004849177,,,,NaCl,,,,61419,30.092601665850072,,2041,93.27162500201752,26.046059108467475,34.13914422323267
13,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Stop isolated,2,,,,000004849427,,,,NaCl,,,,66455,38.25849165227404,,1737,75.59856307346503,34.70324527190312,41.813738032644956
14,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Stop isolated,3,,,,000004849094,,,,NaCl,,,,63322,34.41413043478261,,1840,70.44726840990904,31.195202025320434,37.63305884424478
15,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WallJump,1,,,,000004849177,,,,NaCl,,,,128,2.2857142857142856,,56,0.4517539514526256,2.167392690052293,2.404035881376278
16,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WallJump,2,,,,000004849427,,,,NaCl,,,,142,2.253968253968254,,63,0.43527965716832023,2.146481693095857,2.361454814840651
17,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WallJump,3,,,,000004849094,,,,NaCl,,,,172,2.263157894736842,,76,0.44034738238635557,2.1641557292064584,2.3621600602672257
18,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,SAP,1,,,,000004849177,,,,NaCl,,,,1672,3.4688796680497926,,482,5.458259794995984,2.981590502830544,3.9561688332690412
19,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,SAP,2,,,,000004849427,,,,NaCl,,,,3209,4.761127596439169,,674,9.878681114819372,4.015322941536368,5.50693225134197
20,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,SAP,3,,,,000004849094,,,,NaCl,,,,3220,4.310575635876841,,747,7.023954657176613,3.8068692349147026,4.814282036838979
21,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Huddling,1,,,,000004849177,,,,NaCl,,,,0,,,0,,,
22,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Huddling,2,,,,000004849427,,,,NaCl,,,,0,,,0,,,
23,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Huddling,3,,,,000004849094,,,,NaCl,,,,0,,,0,,,
24,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WaterPoint,1,,,,000004849177,,,,NaCl,,,,0,,,0,,,
25,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WaterPoint,2,,,,000004849427,,,,NaCl,,,,0,,,0,,,
26,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,WaterPoint,3,,,,000004849094,,,,NaCl,,,,0,,,0,,,
27,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,1,2,,,000004849177,000004849427,,,NaCl,NaCl,,,12719,30.72222222222222,,414,122.56778717523108,18.915421144462677,42.529023299981766
28,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,1,3,,,000004849177,000004849094,,,NaCl,NaCl,,,11646,24.673728813559322,,472,72.1161045132344,18.167679788613864,31.17977783850478
29,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,2,1,,,000004849427,000004849177,,,NaCl,NaCl,,,12719,30.72222222222222,,414,122.56778717523108,18.915421144462677,42.529023299981766
30,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,2,3,,,000004849427,000004849094,,,NaCl,NaCl,,,14446,40.80790960451977,,354,126.89099528020444,27.58931620013852,54.026503008901024
31,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,3,1,,,000004849094,000004849177,,,NaCl,NaCl,,,11646,24.673728813559322,,472,72.1161045132344,18.167679788613864,31.17977783850478
32,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Contact,3,2,,,000004849094,000004849427,,,NaCl,NaCl,,,14446,40.80790960451977,,354,126.89099528020444,27.58931620013852,54.026503008901024
33,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,1,2,,,000004849177,000004849427,,,NaCl,NaCl,,,2103,7.731617647058823,,272,15.548005367655035,5.8838544991017105,9.579380795015936
34,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,1,3,,,000004849177,000004849094,,,NaCl,NaCl,,,2612,11.258620689655173,,232,27.06604970019388,7.77575318067348,14.741488198636866
35,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,2,1,,,000004849427,000004849177,,,NaCl,NaCl,,,2103,7.731617647058823,,272,15.548005367655035,5.8838544991017105,9.579380795015936
36,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,2,3,,,000004849427,000004849094,,,NaCl,NaCl,,,4609,17.133828996282528,,269,84.20004463959059,7.0716450332490925,27.196012959315965
37,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,3,1,,,000004849094,000004849177,,,NaCl,NaCl,,,2612,11.258620689655173,,232,27.06604970019388,7.77575318067348,14.741488198636866
38,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-oral Contact,3,2,,,000004849094,000004849427,,,NaCl,NaCl,,,4609,17.133828996282528,,269,84.20004463959059,7.0716450332490925,27.196012959315965
39,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,1,2,,,000004849177,000004849427,,,NaCl,NaCl,,,2226,5.951871657754011,,374,9.028939463402978,5.036795981507772,6.86694733400025
40,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,1,3,,,000004849177,000004849094,,,NaCl,NaCl,,,1116,5.339712918660287,,209,7.497010690640287,4.32329793548729,6.356127901833284
41,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,2,1,,,000004849427,000004849177,,,NaCl,NaCl,,,812,4.164102564102564,,195,5.133474216156359,3.4435757447318167,4.884629383473312
42,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,2,3,,,000004849427,000004849094,,,NaCl,NaCl,,,1232,5.524663677130045,,223,7.6227222135653685,4.524171416721108,6.525155937538981
43,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,3,1,,,000004849094,000004849177,,,NaCl,NaCl,,,981,5.056701030927835,,194,6.972100619967227,4.07558843245722,6.03781362939845
44,221031_Amphet_Cage3_1-3NaCl,221031,Cage3,1-3NaCl,1,1,102390,210390,Oral-genital Contact,3,2,,,000004849094,000004849427,,,NaCl,NaCl,,,1364,5.349019607843137,,255,10.052009311361285,4.115236376465383,6.582802839220891
