,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Move,2,,,,000004849076,,,,Amphet,,,,0,,,0,,,
1,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Move,1,,,,000004849319,,,,NaCl,,,,0,,,0,,,
2,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Move isolated,2,,,,000004849076,,,,Amphet,,,,5129,8.1283676703645,,631,12.054196303532207,7.18782251353855,9.06891282719045
3,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Move isolated,1,,,,000004849319,,,,NaCl,,,,5767,9.183121019108281,,628,14.891964505052693,8.018383026675169,10.347859011541393
4,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Rearing,2,,,,000004849076,,,,Amphet,,,,66013,86.74507227332457,,761,345.371282332052,62.20646183441419,111.28368271223493
5,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Rearing,1,,,,000004849319,,,,NaCl,,,,85873,142.64617940199335,,602,644.4803305033201,91.16274707624514,194.12961172774158
6,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Rear isolated,2,,,,000004849076,,,,Amphet,,,,811,4.2020725388601035,,193,6.109162052978851,3.3401682092164635,5.063976868503743
7,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Rear isolated,1,,,,000004849319,,,,NaCl,,,,450,4.411764705882353,,102,11.036794914460103,2.2698658539718886,6.553663557792818
8,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Stop isolated,2,,,,000004849076,,,,Amphet,,,,52474,86.59075907590758,,606,251.3619486349038,66.57743196762817,106.604086184187
9,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Stop isolated,1,,,,000004849319,,,,NaCl,,,,72851,127.3618881118881,,572,380.88491023036113,96.14771574647217,158.57606047730405
10,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,WallJump,2,,,,000004849076,,,,Amphet,,,,139,2.2063492063492065,,63,0.4046840883803797,2.1064178169919323,2.3062805957064807
11,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,WallJump,1,,,,000004849319,,,,NaCl,,,,118,2.269230769230769,,52,0.4849815466507112,2.1374112832753145,2.401050255186224
12,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,SAP,2,,,,000004849076,,,,Amphet,,,,1563,4.258855585831062,,367,7.609761535351888,3.480292001107926,5.037419170554198
13,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,SAP,1,,,,000004849319,,,,NaCl,,,,3371,3.2507232401157182,,1037,10.669706391543553,2.60131295601741,3.9001335242140263
14,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Huddling,2,,,,000004849076,,,,Amphet,,,,0,,,0,,,
15,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Huddling,1,,,,000004849319,,,,NaCl,,,,0,,,0,,,
16,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,WaterPoint,2,,,,000004849076,,,,Amphet,,,,0,,,0,,,
17,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,WaterPoint,1,,,,000004849319,,,,NaCl,,,,0,,,0,,,
18,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Contact,2,1,,,000004849076,000004849319,,,Amphet,NaCl,,,19296,91.88571428571429,,210,216.09635479994367,62.658066504128364,121.11336206730022
19,221020_Amphet_Cage1_4-1Amphet-1NaCl,221020,Cage1,4-1Amphet-1NaCl,1,1,197685,305685,Contact,1,2,,,000004849319,000004849076,,,NaCl,Amphet,,,19296,91.88571428571429,,210,216.09635479994367,62.658066504128364,121.11336206730022
