,Filename,Date,Cage,Injection,Night-Phase,Bin,start_frame,stop_frame,name,idA,idB,idC,idD,RFidA,RFidB,RFidC,RFidD,GenoA,GenoB,GenoC,GenoD,totalLength,meanLength,medianLength,numberOfEvents,stdLength,CI95_low,CI95_up
0,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move,1,,,,000004849427,,,,Amphet,,,,0,,,0,,,
1,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move,2,,,,000004849094,,,,Amphet,,,,0,,,0,,,
2,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move,3,,,,000004849177,,,,Amphet,,,,0,,,0,,,
3,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move isolated,1,,,,000004849427,,,,Amphet,,,,9161,4.139629462268414,,2213,7.215858874267077,3.8389848709291847,4.440274053607643
4,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move isolated,2,,,,000004849094,,,,Amphet,,,,11818,5.098360655737705,,2318,8.428851950215943,4.755223473027351,5.441497838448059
5,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Move isolated,3,,,,000004849177,,,,Amphet,,,,11549,6.172634954569749,,1871,10.0362581292331,5.717865800008669,6.627404109130829
6,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rearing,1,,,,000004849427,,,,Amphet,,,,75949,137.83847549909257,,551,616.5835685118745,86.35448294169804,189.32246805648708
7,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rearing,2,,,,000004849094,,,,Amphet,,,,84832,105.38136645962733,,805,464.85021419847584,73.26908463797312,137.49364828128154
8,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rearing,3,,,,000004849177,,,,Amphet,,,,82995,92.73184357541899,,895,369.25738195146687,68.53973405645044,116.92395309438754
9,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rear isolated,1,,,,000004849427,,,,Amphet,,,,859,4.14975845410628,,207,8.960557017689215,2.9290669939428757,5.370449914269685
10,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rear isolated,2,,,,000004849094,,,,Amphet,,,,1799,5.451515151515151,,330,10.000261245439699,4.372542474758553,6.53048782827175
11,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Rear isolated,3,,,,000004849177,,,,Amphet,,,,1899,4.7004950495049505,,404,7.259810688996958,3.9925644498202244,5.4084256491896765
12,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Stop isolated,1,,,,000004849427,,,,Amphet,,,,66189,34.59958180867747,,1913,135.80781383954823,28.513702372141385,40.68546124521355
13,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Stop isolated,2,,,,000004849094,,,,Amphet,,,,75392,36.8304836345872,,2047,126.07943343709495,31.368613138263306,42.2923541309111
14,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Stop isolated,3,,,,000004849177,,,,Amphet,,,,63589,36.5664174813111,,1739,137.0136368233093,30.12665166327551,43.00618329934669
15,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WallJump,1,,,,000004849427,,,,Amphet,,,,37,2.176470588235294,,17,0.38122004108281526,1.9952500839921155,2.3576910924784724
16,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WallJump,2,,,,000004849094,,,,Amphet,,,,99,2.25,,44,0.48265364958171136,2.1073849601662684,2.3926150398337316
17,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WallJump,3,,,,000004849177,,,,Amphet,,,,67,2.310344827586207,,29,0.46263475396547377,2.141962958089658,2.4787266970827555
18,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,SAP,1,,,,000004849427,,,,Amphet,,,,1301,5.86036036036036,,222,18.51158283262778,3.4252248220563937,8.295495898664328
19,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,SAP,2,,,,000004849094,,,,Amphet,,,,1385,3.923512747875354,,353,10.209551552413824,2.8584495335229967,4.988575962227712
20,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,SAP,3,,,,000004849177,,,,Amphet,,,,4295,6.1008522727272725,,704,15.51647948592939,4.954645597462887,7.247058947991658
21,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Huddling,1,,,,000004849427,,,,Amphet,,,,0,,,0,,,
22,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Huddling,2,,,,000004849094,,,,Amphet,,,,0,,,0,,,
23,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Huddling,3,,,,000004849177,,,,Amphet,,,,0,,,0,,,
24,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WaterPoint,1,,,,000004849427,,,,Amphet,,,,0,,,0,,,
25,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WaterPoint,2,,,,000004849094,,,,Amphet,,,,0,,,0,,,
26,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,WaterPoint,3,,,,000004849177,,,,Amphet,,,,0,,,0,,,
27,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,1,2,,,000004849427,000004849094,,,Amphet,Amphet,,,5303,27.476683937823836,,193,64.37165988428151,18.394879939261266,36.558487936386406
28,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,1,3,,,000004849427,000004849177,,,Amphet,Amphet,,,12240,29.073634204275535,,421,152.93686087437675,14.464408618445532,43.68285979010554
29,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,2,1,,,000004849094,000004849427,,,Amphet,Amphet,,,5303,27.476683937823836,,193,64.37165988428151,18.394879939261266,36.558487936386406
30,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,2,3,,,000004849094,000004849177,,,Amphet,Amphet,,,9466,40.80172413793103,,232,112.68725563804561,26.301093802679272,55.30235447318279
31,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,3,1,,,000004849177,000004849427,,,Amphet,Amphet,,,12240,29.073634204275535,,421,152.93686087437675,14.464408618445532,43.68285979010554
32,221110_Amphet_Cage3_8-3NaCl,221110,Cage3,8-3NaCl,1,1,164778,272778,Contact,3,2,,,000004849177,000004849094,,,Amphet,Amphet,,,9466,40.80172413793103,,232,112.68725563804561,26.301093802679272,55.30235447318279
